Year,Total Item View,Item Id,View Ranking
2013,12,3517,1
2013,12,2086,1
2013,11,3063,2
2013,10,3538,3
2013,10,3309,3
2013,10,3978,3
2013,10,3200,3
2013,9,760,4
2013,9,265,4
2013,9,1455,4
2013,9,80,4
2013,9,3854,4
2013,9,3405,4
2013,9,2986,4
2013,9,2498,4
2013,9,3264,4
2013,9,2577,4
2013,9,1772,4
2013,9,138,4
2013,8,1354,5
2013,8,1340,5
2013,8,3005,5
2013,8,3955,5
2013,8,3601,5
2013,8,3795,5
2013,8,2678,5
2013,8,2705,5
2013,8,373,5
2013,8,2203,5
2013,8,3070,5
2013,8,1311,5
2013,8,3869,5
2013,8,3631,5
2013,8,3768,5
2013,8,2261,5
2013,8,293,5
2013,8,2764,5
2013,8,1064,5
2013,8,2563,5
2013,8,2422,5
2013,8,1586,5
2013,8,2357,5
2013,8,2747,5
2013,8,3799,5
2013,8,1888,5
2013,8,104,5
2013,8,3865,5
2013,8,3509,5
2013,8,63,5
2013,8,1048,5
2013,8,3285,5
2013,8,3762,5
2013,8,374,5
2013,8,2751,5
2013,8,1975,5
2013,8,2088,5
2013,8,457,5
2013,7,3137,6
2013,7,2908,6
2013,7,274,6
2013,7,570,6
2013,7,1177,6
2013,7,3192,6
2013,7,1679,6
2013,7,2363,6
2013,7,3219,6
2013,7,1936,6
2013,7,2248,6
2013,7,1972,6
2013,7,396,6
2013,7,3287,6
2013,7,1049,6
2013,7,2495,6
2013,7,399,6
2013,7,3024,6
2013,7,1098,6
2013,7,2413,6
2013,7,1037,6
2013,7,2535,6
2013,7,1870,6
2013,7,2122,6
2013,7,3043,6
2013,7,3953,6
2013,7,3391,6
2013,7,3159,6
2013,7,1788,6
2013,7,659,6
2013,7,3668,6
2013,7,3890,6
2013,7,1269,6
2013,7,2865,6
2013,7,2179,6
2013,7,3863,6
2013,7,1887,6
2013,7,1805,6
2013,7,3149,6
2013,7,2646,6
2013,7,3383,6
2013,7,630,6
2013,7,2592,6
2013,7,2426,6
2013,7,221,6
2013,7,655,6
2013,7,1100,6
2013,7,3165,6
2013,7,1505,6
2013,7,2140,6
2013,7,1114,6
2013,7,2250,6
2013,7,561,6
2013,7,2213,6
2013,7,3859,6
2013,7,2884,6
2013,7,1400,6
2013,7,3191,6
2013,7,3901,6
2013,7,2386,6
2013,7,2763,6
2013,7,3598,6
2013,7,1315,6
2013,7,3428,6
2013,7,2105,6
2013,7,506,6
2013,7,1808,6
2013,7,426,6
2013,7,2504,6
2013,7,106,6
2013,7,502,6
2013,7,3036,6
2013,7,2841,6
2013,7,2022,6
2013,7,2454,6
2013,7,3482,6
2013,7,180,6
2013,7,932,6
2013,7,489,6
2013,7,1204,6
2013,6,3738,7
2013,6,3524,7
2013,6,1698,7
2013,6,475,7
2013,6,459,7
2013,6,273,7
2013,6,1789,7
2013,6,2448,7
2013,6,2003,7
2013,6,389,7
2013,6,2626,7
2013,6,900,7
2013,6,3495,7
2013,6,920,7
2013,6,2399,7
2013,6,2215,7
2013,6,1820,7
2013,6,1951,7
2013,6,3785,7
2013,6,1862,7
2013,6,1515,7
2013,6,1683,7
2013,6,1304,7
2013,6,3822,7
2013,6,310,7
2013,6,1987,7
2013,6,2712,7
2013,6,2466,7
2013,6,2694,7
2013,6,921,7
2013,6,2843,7
2013,6,1494,7
2013,6,3839,7
2013,6,1357,7
2013,6,1170,7
2013,6,2216,7
2013,6,1686,7
2013,6,366,7
2013,6,1755,7
2013,6,1164,7
2013,6,2162,7
2013,6,347,7
2013,6,287,7
2013,6,2871,7
2013,6,1994,7
2013,6,2198,7
2013,6,3197,7
2013,6,2328,7
2013,6,3064,7
2013,6,2630,7
2013,6,1159,7
2013,6,449,7
2013,6,2384,7
2013,6,3506,7
2013,6,1829,7
2013,6,2308,7
2013,6,2309,7
2013,6,467,7
2013,6,3251,7
2013,6,591,7
2013,6,1262,7
2013,6,959,7
2013,6,3786,7
2013,6,3994,7
2013,6,2863,7
2013,6,3223,7
2013,6,2758,7
2013,6,251,7
2013,6,378,7
2013,6,1182,7
2013,6,3240,7
2013,6,238,7
2013,6,2600,7
2013,6,2134,7
2013,6,3771,7
2013,6,3424,7
2013,6,791,7
2013,6,784,7
2013,6,2372,7
2013,6,610,7
2013,6,1697,7
